"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M2153.66","GMP","S100A9",11.2186930200585,"S100A8",11.1161417010815,"#B4EEB4"
"M2154.14","GMP","LYZ",10.8414785074809,"S100A9",9.96745606658341,"#B4EEB4"
"M2155.21","monP1","LYZ",10.1210729837876,"TYROBP",8.76877738404729,"#6E8B3D"
"M2156.29","GMP","LYZ",10.4596914845955,"S100A9",9.87544419905189,"#B4EEB4"
"M2157.33","monP1","LYZ",9.49245145613988,"CST3",9.12938799854168,"#6E8B3D"
"M2158.79","GMP","LYZ",10.6705713776118,"S100A9",10.5414059307904,"#B4EEB4"
"M2159.41","GMP","S100A9",10.745021908266,"S100A8",10.0055109328996,"#B4EEB4"
"M2160.15","GMP","LYZ",10.5869374568288,"S100A9",9.02430174378321,"#B4EEB4"
"M2161.56","neutP1","TYROBP",8.99800581484927,"LST1",8.97940563031842,"#BCEE68"
"M2162.38","monP1","TYROBP",8.77806661510676,"CST3",8.51415415483351,"#6E8B3D"
"M2163.04","monP1","LYZ",10.3537986890057,"TYROBP",8.93965457607829,"#6E8B3D"
"M2164.95","GMP","LYZ",11.0127798965326,"S100A9",10.8928459794235,"#B4EEB4"
"M2165.08","GMP","LYZ",10.5410113933113,"S100A9",9.54558619380179,"#B4EEB4"
"M2166.73","GMP","LYZ",10.8073055534311,"S100A9",10.6258580586587,"#B4EEB4"
"M2167.51","monP1","LYZ",10.2974821672807,"TYROBP",9.1563626055162,"#6E8B3D"
"M2168.32","monP1","LYZ",9.50791789988716,"TYROBP",8.79375452592866,"#6E8B3D"
"M2169.72","GMP","LYZ",10.6591311386617,"TYROBP",8.98159253057363,"#B4EEB4"
"M2170.72","monP1","LYZ",10.518931459371,"TYROBP",8.89747492848397,"#6E8B3D"
"M2171.16","monP1","LYZ",10.2634925608904,"TYROBP",8.71449512733538,"#6E8B3D"
"M2172.51","monP1","LYZ",10.1747056716545,"TYROBP",9.03537795724363,"#6E8B3D"
"M2173.60","monP1","LYZ",10.3731461842541,"TYROBP",8.90952118025617,"#6E8B3D"
"M2174.36","GMP","LYZ",10.5890100099851,"S100A9",10.00212840122,"#B4EEB4"
"M2175.60","GMP","LYZ",10.8368944651771,"S100A9",10.297775564335,"#B4EEB4"
"M2176.94","GMP","S100A9",10.9985191661043,"S100A8",10.881177944963,"#B4EEB4"
"M2177.92","monP1","LYZ",10.487952023915,"TYROBP",8.98726824589789,"#6E8B3D"
"M2178.13","monP1","LYZ",9.75633905743141,"TYROBP",8.80646900638536,"#6E8B3D"
"M2179.55","GMP","S100A9",11.2095595742385,"S100A8",10.7995240410552,"#B4EEB4"
"M2180.35","GMP","S100A9",10.440396401249,"LYZ",9.94965541244847,"#B4EEB4"
"M2181.03","monP1","LYZ",9.35681016017558,"CST3",9.23517399609546,"#6E8B3D"
"M2182.03","monP1","LYZ",9.79076455225526,"TYROBP",8.75625067101155,"#6E8B3D"
"M2183.03","GMP","LYZ",10.6933655482017,"TYROBP",9.11758776624798,"#B4EEB4"
"M2184.01","GMP","S100A9",10.4758749504574,"LYZ",10.4535713013693,"#B4EEB4"
"M2185.43","monP1","LYZ",10.0826092737299,"CST3",8.88191438880108,"#6E8B3D"
"M2186.71","GMP","LYZ",10.1425472691213,"S100A9",9.94357557170641,"#B4EEB4"
"M2187.78","GMP","LYZ",11.0042325808579,"S100A9",10.3541233768624,"#B4EEB4"
"M2188.96","GMP","S100A9",11.3415174740053,"S100A8",10.9989686850087,"#B4EEB4"
"M2189.13","monP1","LYZ",10.1876754799526,"TYROBP",8.97978845619889,"#6E8B3D"
"M2190.23","monP1","LYZ",9.64315115446687,"CST3",8.84292226945012,"#6E8B3D"
"M2191.40","GMP","LYZ",10.8365176564162,"S100A9",9.88499760146393,"#B4EEB4"
"M2192.64","GMP","S100A8",11.1299916012182,"S100A9",11.0027035626907,"#B4EEB4"
"M2193.25","GMP","LYZ",10.6412731803771,"TYROBP",8.95713167523218,"#B4EEB4"
"M2194.13","GMP","LYZ",10.9732894255045,"S100A9",9.79819671864779,"#B4EEB4"
"M2195.59","GMP","LYZ",10.7964135111693,"S100A9",10.1389946155604,"#B4EEB4"
"M2196.21","GMP","LYZ",10.2490956029879,"TYROBP",8.82866966265185,"#B4EEB4"
"M2197.33","GMP","LYZ",10.9761727576481,"S100A9",9.65862197886931,"#B4EEB4"
"M2198.95","GMP","LYZ",10.5678410746156,"S100A9",10.5317882346574,"#B4EEB4"
"M2199.36","GMP","S100A9",10.3619773951076,"S100A8",9.92774893724329,"#B4EEB4"
"M2200.01","GMP","S100A9",10.7159649368644,"LYZ",10.5224419729856,"#B4EEB4"
"M2201.36","GMP","S100A9",11.0640062479235,"S100A8",10.745447118165,"#B4EEB4"
"M2202.32","GMP","LYZ",10.6940282496215,"CXCL8",9.3873740754321,"#B4EEB4"
"M2203.95","monP1","LYZ",9.85082134398317,"TYROBP",8.94360785557019,"#6E8B3D"
"M2204.14","monP1","LYZ",9.39849835108736,"CST3",8.86852922717951,"#6E8B3D"
"M2205.66","GMP","S100A9",11.5452276081364,"S100A8",11.2291030419407,"#B4EEB4"
"M2206.45","GMP","LYZ",10.6178296921124,"S100A9",9.81795201265658,"#B4EEB4"
"M2207.15","doublets","LYZ",9.75538846281851,"S100A9",8.87966411217824,"#000000"
"M2208.10","GMP","LYZ",10.9435906072417,"S100A9",10.325193995231,"#B4EEB4"
"M2209.47","monP1","LYZ",10.4477548528708,"TYROBP",8.83518401904694,"#6E8B3D"
"M2210.13","GMP","LYZ",10.0072223265486,"S100A9",8.77251884893476,"#B4EEB4"
"M2211.28","GMP","LYZ",10.7646017296536,"S100A9",9.82975417655637,"#B4EEB4"
"M2212.74","GMP","LYZ",10.578485812773,"S100A9",10.5127894938423,"#B4EEB4"
"M2213.69","GMP","S100A9",10.3767528639548,"LYZ",9.93216288614112,"#B4EEB4"
"M2214.76","monP1","LYZ",10.1158700725961,"CST3",8.84385869395186,"#6E8B3D"
"M2215.10","GMP","LYZ",10.6659807699167,"S100A9",9.08993037988001,"#B4EEB4"
"M2216.61","GMP","LYZ",10.5328073378545,"S100A9",9.68228834165022,"#B4EEB4"
"M2217.50","GMP","LYZ",10.77192066516,"S100A9",10.0388821434195,"#B4EEB4"
"M2218.21","masBasP","SEPP1",9.12278038150494,"APOE",8.28364788868353,"#7A378B"
"M2219.72","GMP","LYZ",10.2857254362146,"S100A9",9.78211487787686,"#B4EEB4"
"M2220.38","monP1","LYZ",10.1044330773604,"CST3",8.82771232411159,"#6E8B3D"
"M2221.91","monP1","CST3",9.22816909370551,"LYZ",9.02099717877578,"#6E8B3D"
"M2222.83","monP1","LYZ",10.2434194474224,"TYROBP",8.76097340189831,"#6E8B3D"
"M2223.97","GMP","S100A9",10.5699183840205,"LYZ",10.380451459136,"#B4EEB4"
"M2224.94","GMP","LYZ",10.3118541659817,"S100A9",9.43083301023452,"#B4EEB4"
"M2225.24","monP1","LYZ",9.64356240204918,"TYROBP",8.31014283347401,"#6E8B3D"
"M2226.47","GMP","LYZ",10.3773651872335,"S100A9",9.05260412693858,"#B4EEB4"
"M2227.54","GMP","LYZ",10.8345248140425,"S100A9",9.60276613994055,"#B4EEB4"
"M2228.06","Ery","HBB",8.4250089879228,"AHSP",7.669250062892,"#FF0000"
"M2229.52","Ery","HBA2",13.1584900516829,"HBA1",12.7596681542424,"#FF0000"
"M2230.45","Ery","HBB",10.6883353579274,"HBA1",10.1109761863191,"#FF0000"
"M2231.22","Ery","HBB",8.94937020781178,"AHSP",8.2898604270296,"#FF0000"
"M2232.43","Ery","HBB",11.0740310684796,"HBA2",10.9035150677611,"#FF0000"
